title,authors,publishedDate,categories,averageRating,ratingsCount,description,pageCount,language,previewLink,query
Automated Machine Learning,"['Frank Hutter', 'Lars Kotthoff', 'Joaquin Vanschoren']",2019-05-17,['Computers'],,,"This open access book presents the first comprehensive overview of general methods in Automated Machine Learning (AutoML), collects descriptions of existing systems based on these methods, and discusses the first series of international challenges of AutoML systems. The recent success of commercial ML applications and the rapid growth of the field has created a high demand for off-the-shelf ML methods that can be used easily and without expert knowledge. However, many of the recent machine learning successes crucially rely on human experts, who manually select appropriate ML architectures (deep learning architectures or more traditional ML workflows) and their hyperparameters. To overcome this problem, the field of AutoML targets a progressive automation of machine learning, based on principles from optimization and machine learning itself. This book serves as a point of entry into this quickly-developing field for researchers and advanced students alike, as well as providing a reference for practitioners aiming to use AutoML in their work.",223.0,en,http://books.google.co.in/books?id=zQiZDwAAQBAJ&pg=PR1&dq=machine+learning&hl=&cd=11&source=gbs_api,machine learning
Hands-On Machine Learning with R,"['Brad Boehmke', 'Brandon M. Greenwell']",2019-11-07,['Business & Economics'],,,"Hands-on Machine Learning with R provides a practical and applied approach to learning and developing intuition into today’s most popular machine learning methods. This book serves as a practitioner’s guide to the machine learning process and is meant to help the reader learn to apply the machine learning stack within R, which includes using various R packages such as glmnet, h2o, ranger, xgboost, keras, and others to effectively model and gain insight from their data. The book favors a hands-on approach, providing an intuitive understanding of machine learning concepts through concrete examples and just a little bit of theory. Throughout this book, the reader will be exposed to the entire machine learning process including feature engineering, resampling, hyperparameter tuning, model evaluation, and interpretation. The reader will be exposed to powerful algorithms such as regularized regression, random forests, gradient boosting machines, deep learning, generalized low rank models, and more! By favoring a hands-on approach and using real word data, the reader will gain an intuitive understanding of the architectures and engines that drive these algorithms and packages, understand when and how to tune the various hyperparameters, and be able to interpret model results. By the end of this book, the reader should have a firm grasp of R’s machine learning stack and be able to implement a systematic approach for producing high quality modeling results. Features: · Offers a practical and applied introduction to the most popular machine learning methods. · Topics covered include feature engineering, resampling, deep learning and more. · Uses a hands-on approach and real world data.",373.0,en,http://books.google.co.in/books?id=QdW8DwAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=12&source=gbs_api,machine learning
Introduction to Machine Learning,['Shan-e-Fatima'],2023-09-25,['Education'],,,"With the use of machine learning (ML), which is a form of artificial intelligence (AI), software programmers may predict outcomes more accurately without having to be explicitly instructed to do so. In order to forecast new output values, machine learning algorithms use historical data as input. Machine learning is frequently used in recommendation engines. Business process automation (BPA), predictive maintenance, spam filtering, malware threat detection, and fraud detection are a few additional common uses. Machine learning is significant because it aids in the development of new goods and provides businesses with a picture of trends in consumer behavior and operational business patterns. For many businesses, machine learning has emerged as a key competitive differentiation. The fundamental methods of machine learning are covered in the current book.",189.0,en,http://books.google.co.in/books?id=INrYEAAAQBAJ&pg=PA1&dq=machine+learning&hl=&cd=13&source=gbs_api,machine learning
Machine Learning - A Journey To Deep Learning: With Exercises And Answers,"['Andreas Miroslaus Wichert', 'Luis Sa-couto']",2021-01-26,['Computers'],,,"This unique compendium discusses some core ideas for the development and implementation of machine learning from three different perspectives — the statistical perspective, the artificial neural network perspective and the deep learning methodology.The useful reference text represents a solid foundation in machine learning and should prepare readers to apply and understand machine learning algorithms as well as to invent new machine learning methods. It tells a story outgoing from a perceptron to deep learning highlighted with concrete examples, including exercises and answers for the students.Related Link(s)",641.0,en,http://books.google.co.in/books?id=i-IZEAAAQBAJ&pg=PP1&dq=machine+learning&hl=&cd=14&source=gbs_api,machine learning
Machine Learning,['Rajiv Chopra'],,['Computers'],,,"This book attempts to provide a unified overview of the broad field of Machine Learning and its Practical implementation. This book is a survey of the state of art. It breaks this massive subject into comprehensible parts piece by piece. The objective is to focus on basic principles of machine learning with some leading edge topics. This book addresses a full spectrum of machine learning programming. The emphasis is to solve lot many programming examples using step-by step practical implementation of machine learning algorithms. To facilitate easy understanding of machine learning, this book has been written in such a simple style that a student thinks as if a teacher is sitting behind him and guiding him. This book is written as per the new syllabus of different Universities of India. It also Cover the syllabus of B.Tech.(CSE/IT), MCA, BCA of Delhi University, Delhi. GGSIPU, MDU, RGTU, Nagpur University, UTU, APJ Abdul Kalam University so on. The book is intended for both academic and professional audience.",360.0,en,http://books.google.co.in/books?id=T2IFEAAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=15&source=gbs_api,machine learning
Efficient Learning Machines,"['Mariette Awad', 'Rahul Khanna']",2015-04-27,['Computers'],,,"Machine learning techniques provide cost-effective alternatives to traditional methods for extracting underlying relationships between information and data and for predicting future events by processing existing information to train models. Efficient Learning Machines explores the major topics of machine learning, including knowledge discovery, classifications, genetic algorithms, neural networking, kernel methods, and biologically-inspired techniques. Mariette Awad and Rahul Khanna’s synthetic approach weaves together the theoretical exposition, design principles, and practical applications of efficient machine learning. Their experiential emphasis, expressed in their close analysis of sample algorithms throughout the book, aims to equip engineers, students of engineering, and system designers to design and create new and more efficient machine learning systems. Readers of Efficient Learning Machines will learn how to recognize and analyze the problems that machine learning technology can solve for them, how to implement and deploy standard solutions to sample problems, and how to design new systems and solutions. Advances in computing performance, storage, memory, unstructured information retrieval, and cloud computing have coevolved with a new generation of machine learning paradigms and big data analytics, which the authors present in the conceptual context of their traditional precursors. Awad and Khanna explore current developments in the deep learning techniques of deep neural networks, hierarchical temporal memory, and cortical algorithms. Nature suggests sophisticated learning techniques that deploy simple rules to generate highly intelligent and organized behaviors with adaptive, evolutionary, and distributed properties. The authors examine the most popular biologically-inspired algorithms, together with a sample application to distributed datacenter management. They also discuss machine learning techniques for addressing problems of multi-objective optimization in which solutions in real-world systems are constrained and evaluated based on how well they perform with respect to multiple objectives in aggregate. Two chapters on support vector machines and their extensions focus on recent improvements to the classification and regression techniques at the core of machine learning.",263.0,en,http://books.google.co.in/books?id=Bk4nCgAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=16&source=gbs_api,machine learning
Proceedings of the international conference on Machine Learning,"['John Anderson', 'E. R. Bareiss', 'Ryszard Stanisław Michalski']",19??,,,,,,en,http://books.google.co.in/books?id=x_jDuwEACAAJ&dq=machine+learning&hl=&cd=17&source=gbs_api,machine learning
Fundamentals of Machine Learning for Predictive Data Analytics,"['John D. Kelleher', 'Brian Mac Namee', ""Aoife D'Arcy""]",2015-07-24,['Computers'],,,"A comprehensive introduction to the most important machine learning approaches used in predictive data analytics, covering both theoretical concepts and practical applications. Machine learning is often used to build predictive models by extracting patterns from large datasets. These models are used in predictive data analytics applications including price prediction, risk assessment, predicting customer behavior, and document classification. This introductory textbook offers a detailed and focused treatment of the most important machine learning approaches used in predictive data analytics, covering both theoretical concepts and practical applications. Technical and mathematical material is augmented with explanatory worked examples, and case studies illustrate the application of these models in the broader business context. After discussing the trajectory from data to insight to decision, the book describes four approaches to machine learning: information-based learning, similarity-based learning, probability-based learning, and error-based learning. Each of these approaches is introduced by a nontechnical explanation of the underlying concept, followed by mathematical models and algorithms illustrated by detailed worked examples. Finally, the book considers techniques for evaluating prediction models and offers two case studies that describe specific data analytics projects through each phase of development, from formulating the business problem to implementation of the analytics solution. The book, informed by the authors' many years of teaching machine learning, and working on predictive data analytics projects, is suitable for use by undergraduates in computer science, engineering, mathematics, or statistics; by graduate students in disciplines with applications for predictive data analytics; and as a reference for professionals.",619.0,en,http://books.google.co.in/books?id=uZxOCgAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=18&source=gbs_api,machine learning
Understanding Machine Learning,"['Shai Shalev-Shwartz', 'Shai Ben-David']",2014-05-19,['Computers'],,,"Machine learning is one of the fastest growing areas of computer science, with far-reaching applications. The aim of this textbook is to introduce machine learning, and the algorithmic paradigms it offers, in a principled way. The book provides a theoretical account of the fundamentals underlying machine learning and the mathematical derivations that transform these principles into practical algorithms. Following a presentation of the basics, the book covers a wide array of central topics unaddressed by previous textbooks. These include a discussion of the computational complexity of learning and the concepts of convexity and stability; important algorithmic paradigms including stochastic gradient descent, neural networks, and structured output learning; and emerging theoretical concepts such as the PAC-Bayes approach and compression-based bounds. Designed for advanced undergraduates or beginning graduates, the text makes the fundamentals and algorithms of machine learning accessible to students and non-expert readers in statistics, computer science, mathematics and engineering.",415.0,en,http://books.google.co.in/books?id=Hf6QAwAAQBAJ&dq=machine+learning&hl=&cd=19&source=gbs_api,machine learning
Machine Learning Foundations,['Taeho Jo'],2022-02-13,['Technology & Engineering'],,,"This book provides conceptual understanding of machine learning algorithms though supervised, unsupervised, and advanced learning techniques. The book consists of four parts: foundation, supervised learning, unsupervised learning, and advanced learning. The first part provides the fundamental materials, background, and simple machine learning algorithms, as the preparation for studying machine learning algorithms. The second and the third parts provide understanding of the supervised learning algorithms and the unsupervised learning algorithms as the core parts. The last part provides advanced machine learning algorithms: ensemble learning, semi-supervised learning, temporal learning, and reinforced learning. Provides comprehensive coverage of both learning algorithms: supervised and unsupervised learning; Outlines the computation paradigm for solving classification, regression, and clustering; Features essential techniques for building the a new generation of machine learning.",391.0,en,http://books.google.co.in/books?id=hvjmzgEACAAJ&dq=machine+learning&hl=&cd=21&source=gbs_api,machine learning
Machine Learning For Dummies,"['John Paul Mueller', 'Luca Massaron']",2021-01-07,['Computers'],,,"One of Mark Cuban’s top reads for better understanding A.I. (inc.com, 2021) Your comprehensive entry-level guide to machine learning While machine learning expertise doesn’t quite mean you can create your own Turing Test-proof android—as in the movie Ex Machina—it is a form of artificial intelligence and one of the most exciting technological means of identifying opportunities and solving problems fast and on a large scale. Anyone who masters the principles of machine learning is mastering a big part of our tech future and opening up incredible new directions in careers that include fraud detection, optimizing search results, serving real-time ads, credit-scoring, building accurate and sophisticated pricing models—and way, way more. Unlike most machine learning books, the fully updated 2nd Edition of Machine Learning For Dummies doesn't assume you have years of experience using programming languages such as Python (R source is also included in a downloadable form with comments and explanations), but lets you in on the ground floor, covering the entry-level materials that will get you up and running building models you need to perform practical tasks. It takes a look at the underlying—and fascinating—math principles that power machine learning but also shows that you don't need to be a math whiz to build fun new tools and apply them to your work and study. Understand the history of AI and machine learning Work with Python 3.8 and TensorFlow 2.x (and R as a download) Build and test your own models Use the latest datasets, rather than the worn out data found in other books Apply machine learning to real problems Whether you want to learn for college or to enhance your business or career performance, this friendly beginner's guide is your best introduction to machine learning, allowing you to become quickly confident using this amazing and fast-developing technology that's impacting lives for the better all over the world.",467.0,en,http://books.google.co.in/books?id=--ASEAAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=22&source=gbs_api,machine learning
"Machine Learning Methods with Noisy, Incomplete or Small Datasets","['Jordi Solé-Casals', 'Zhe Sun', 'Cesar F. Caiafa', 'Toshihisa Tanaka']",2021-08-17,['Mathematics'],,,"Over the past years, businesses have had to tackle the issues caused by numerous forces from political, technological and societal environment. The changes in the global market and increasing uncertainty require us to focus on disruptive innovations and to investigate this phenomenon from different perspectives. The benefits of innovations are related to lower costs, improved efficiency, reduced risk, and better response to the customers’ needs due to new products, services or processes. On the other hand, new business models expose various risks, such as cyber risks, operational risks, regulatory risks, and others. Therefore, we believe that the entrepreneurial behavior and global mindset of decision-makers significantly contribute to the development of innovations, which benefit by closing the prevailing gap between developed and developing countries. Thus, this Special Issue contributes to closing the research gap in the literature by providing a platform for a scientific debate on innovation, internationalization and entrepreneurship, which would facilitate improving the resilience of businesses to future disruptions. Order Your Print Copy",316.0,en,http://books.google.co.in/books?id=shM-EAAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=23&source=gbs_api,machine learning
Human-in-the-Loop Machine Learning,"['Robert (Munro) Monarch', 'Robert Munro']",2021-07-20,['Computers'],,,"Human-in-the-Loop Machine Learning lays out methods for humans and machines to work together effectively. Summary Most machine learning systems that are deployed in the world today learn from human feedback. However, most machine learning courses focus almost exclusively on the algorithms, not the human-computer interaction part of the systems. This can leave a big knowledge gap for data scientists working in real-world machine learning, where data scientists spend more time on data management than on building algorithms. Human-in-the-Loop Machine Learning is a practical guide to optimizing the entire machine learning process, including techniques for annotation, active learning, transfer learning, and using machine learning to optimize every step of the process. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the technology Machine learning applications perform better with human feedback. Keeping the right people in the loop improves the accuracy of models, reduces errors in data, lowers costs, and helps you ship models faster. About the book Human-in-the-Loop Machine Learning lays out methods for humans and machines to work together effectively. You’ll find best practices on selecting sample data for human feedback, quality control for human annotations, and designing annotation interfaces. You’ll learn to create training data for labeling, object detection, and semantic segmentation, sequence labeling, and more. The book starts with the basics and progresses to advanced techniques like transfer learning and self-supervision within annotation workflows. What's inside Identifying the right training and evaluation data Finding and managing people to annotate data Selecting annotation quality control strategies Designing interfaces to improve accuracy and efficiency About the author Robert (Munro) Monarch is a data scientist and engineer who has built machine learning data for companies such as Apple, Amazon, Google, and IBM. He holds a PhD from Stanford. Robert holds a PhD from Stanford focused on Human-in-the-Loop machine learning for healthcare and disaster response, and is a disaster response professional in addition to being a machine learning professional. A worked example throughout this text is classifying disaster-related messages from real disasters that Robert has helped respond to in the past. Table of Contents PART 1 - FIRST STEPS 1 Introduction to human-in-the-loop machine learning 2 Getting started with human-in-the-loop machine learning PART 2 - ACTIVE LEARNING 3 Uncertainty sampling 4 Diversity sampling 5 Advanced active learning 6 Applying active learning to different machine learning tasks PART 3 - ANNOTATION 7 Working with the people annotating your data 8 Quality control for data annotation 9 Advanced data annotation and augmentation 10 Annotation quality for different machine learning tasks PART 4 - HUMAN–COMPUTER INTERACTION FOR MACHINE LEARNING 11 Interfaces for data annotation 12 Human-in-the-loop machine learning products",422.0,en,http://books.google.co.in/books?id=W2U0EAAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=24&source=gbs_api,machine learning
Machine Learning and Artificial Intelligence,['Ameet V Joshi'],2019-09-24,['Technology & Engineering'],,,"This book provides comprehensive coverage of combined Artificial Intelligence (AI) and Machine Learning (ML) theory and applications. Rather than looking at the field from only a theoretical or only a practical perspective, this book unifies both perspectives to give holistic understanding. The first part introduces the concepts of AI and ML and their origin and current state. The second and third parts delve into conceptual and theoretic aspects of static and dynamic ML techniques. The forth part describes the practical applications where presented techniques can be applied. The fifth part introduces the user to some of the implementation strategies for solving real life ML problems. The book is appropriate for students in graduate and upper undergraduate courses in addition to researchers and professionals. It makes minimal use of mathematics to make the topics more intuitive and accessible. Presents a full reference to artificial intelligence and machine learning techniques - in theory and application; Provides a guide to AI and ML with minimal use of mathematics to make the topics more intuitive and accessible; Connects all ML and AI techniques to applications and introduces implementations.",262.0,en,http://books.google.co.in/books?id=ybyxDwAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=26&source=gbs_api,machine learning
"Machine Learning, revised and updated edition",['Ethem Alpaydin'],2021-08-17,['Computers'],,,"MIT presents a concise primer on machine learning—computer programs that learn from data and the basis of applications like voice recognition and driverless cars. No in-depth knowledge of math or programming required! Today, machine learning underlies a range of applications we use every day, from product recommendations to voice recognition—as well as some we don’t yet use every day, including driverless cars. It is the basis for a new approach to artificial intelligence that aims to program computers to use example data or past experience to solve a given problem. In this volume in the MIT Press Essential Knowledge series, Ethem Alpaydin offers a concise and accessible overview of “the new AI.” This expanded edition offers new material on such challenges facing machine learning as privacy, security, accountability, and bias. Alpaydin explains that as Big Data has grown, the theory of machine learning—the foundation of efforts to process that data into knowledge—has also advanced. He covers: • The evolution of machine learning • Important learning algorithms and example applications • Using machine learning algorithms for pattern recognition • Artificial neural networks inspired by the human brain • Algorithms that learn associations between instances • Reinforcement learning • Transparency, explainability, and fairness in machine learning • The ethical and legal implicates of data-based decision making A comprehensive introduction to machine learning, this book does not require any previous knowledge of mathematics or programming—making it accessible for everyday readers and easily adoptable for classroom syllabi.",282.0,en,http://books.google.co.in/books?id=Eyk5EAAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=27&source=gbs_api,machine learning
Feature Engineering for Machine Learning,"['Alice Zheng', 'Amanda Casari']",2018-03-23,['Computers'],,,"Feature engineering is a crucial step in the machine-learning pipeline, yet this topic is rarely examined on its own. With this practical book, you’ll learn techniques for extracting and transforming features—the numeric representations of raw data—into formats for machine-learning models. Each chapter guides you through a single data problem, such as how to represent text or image data. Together, these examples illustrate the main principles of feature engineering. Rather than simply teach these principles, authors Alice Zheng and Amanda Casari focus on practical application with exercises throughout the book. The closing chapter brings everything together by tackling a real-world, structured dataset with several feature-engineering techniques. Python packages including numpy, Pandas, Scikit-learn, and Matplotlib are used in code examples. You’ll examine: Feature engineering for numeric data: filtering, binning, scaling, log transforms, and power transforms Natural text techniques: bag-of-words, n-grams, and phrase detection Frequency-based filtering and feature scaling for eliminating uninformative features Encoding techniques of categorical variables, including feature hashing and bin-counting Model-based feature engineering with principal component analysis The concept of model stacking, using k-means as a featurization technique Image feature extraction with manual and deep-learning techniques",218.0,en,http://books.google.co.in/books?id=sthSDwAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=29&source=gbs_api,machine learning
